firstname,lastname,email,phone,city,score,department
Benjamin,Villegas,benjamin.villegas@example.com,001-635-875-1842x1868,Seattle,759,Department of History
Karen,Murray,karen.murray@example.com,(876)298-9190x112,Denver,281,College of Professional Studies
Kimberly,Williams,kimberly.williams@example.com,001-336-877-5144,San Francisco,200,Department of Computer Science
Sheila,Jones,sheila.jones@example.com,616-682-2420,Seattle,139,Department of Geography
Jennifer,Russell,jennifer.russell@example.com,201-934-3403,San Francisco,902,School of Education
Jose,Johnson,jose.johnson@example.com,490.581.6264x16952,Denver,636,School of Law
Brian,Holmes,brian.holmes@example.com,454-972-7095x033,Denver,906,Department of Public Policy
Kevin,Hernandez,kevin.hernandez@example.com,600.204.4945x218,Miami,469,Department of Public Policy
Daniel,Costa,daniel.costa@example.com,633-649-6592,Washington,409,Department of Psychology
Logan,Reynolds,logan.reynolds@example.com,+1-892-314-2193x194,Chicago,502,Department of Psychology
